agent,operation,date,amount
5,renewal,2025-01-17,72.48
5,issuance,2025-01-17,36.64
3,renewal,2025-01-17,19.55
8,renewal,2025-01-18,72.77
10,cancellation,2025-01-18,97.25
5,endorsement,2025-01-18,19.89
3,cancellation,2025-01-18,42.26
4,endorsement,2025-01-19,18.55
9,renewal,2025-01-19,54.87
10,endorsement,2025-01-20,57.73
2,issuance,2025-01-20,24.19
10,cancellation,2025-01-21,70.98
5,issuance,2025-01-21,82.26
3,issuance,2025-01-21,65.2
4,endorsement,2025-01-21,81.09
3,renewal,2025-01-22,79.57
4,renewal,2025-01-22,64.85
8,renewal,2025-01-22,35.88
2,issuance,2025-01-22,18.4
9,renewal,2025-01-22,31.05
6,issuance,2025-01-22,89.7
1,cancellation,2025-01-22,42.68
1,renewal,2025-01-22,28.02
4,renewal,2025-01-22,50.68
10,renewal,2025-01-22,51.54
9,renewal,2025-01-22,37.15
1,renewal,2025-01-22,23.18
3,issuance,2025-01-22,41.93
10,renewal,2025-01-22,99.33
8,renewal,2025-01-22,39.62
1,renewal,2025-01-22,84.26
10,renewal,2025-01-22,18.64
6,renewal,2025-01-23,37.22
4,cancellation,2025-01-23,93.64
9,renewal,2025-01-24,58.59
10,issuance,2025-01-24,55.24
1,renewal,2025-01-24,53.67
8,cancellation,2025-01-24,68.77
2,renewal,2025-01-24,45.47
3,renewal,2025-01-24,33.62
9,renewal,2025-01-25,49.9
5,renewal,2025-01-25,92.52
9,renewal,2025-01-26,42.32
3,renewal,2025-01-26,72.85
4,renewal,2025-01-27,80.24
5,renewal,2025-01-27,82.66
4,renewal,2025-01-27,73.77
10,renewal,2025-01-27,68.92
1,renewal,2025-01-27,30.68
4,renewal,2025-01-27,56.43
10,renewal,2025-01-27,48.14
4,renewal,2025-01-27,79.48
9,endorsement,2025-01-27,61.29
3,renewal,2025-01-28,75.39
1,issuance,2025-01-29,49.07
8,renewal,2025-01-29,31.09
8,renewal,2025-01-29,86.33
9,cancellation,2025-01-29,78.06
3,renewal,2025-01-29,26.36
4,issuance,2025-01-29,77.83
8,issuance,2025-01-29,36.22
3,issuance,2025-01-29,20.62
8,renewal,2025-01-29,49.3
2,renewal,2025-01-29,58.53
3,renewal,2025-01-29,77.64
9,renewal,2025-01-30,62.69
4,renewal,2025-01-31,28.24
8,issuance,2025-01-31,76.56
6,cancellation,2025-01-31,56.25
1,issuance,2025-01-31,98.57
10,endorsement,2025-02-01,72.69
2,issuance,2025-02-01,38.34
3,renewal,2025-02-01,55.74
6,renewal,2025-02-01,22.59
1,renewal,2025-02-01,99.8
9,renewal,2025-02-01,21.63
2,renewal,2025-02-01,24.22
2,issuance,2025-02-01,26.81
2,issuance,2025-02-01,94.77
3,renewal,2025-02-01,59.43
3,cancellation,2025-02-02,87.54
2,renewal,2025-02-03,97.45
1,endorsement,2025-02-03,24.09
3,cancellation,2025-02-03,96.35
8,renewal,2025-02-03,97.64
6,renewal,2025-02-03,85.96
10,renewal,2025-02-04,52.95
2,issuance,2025-02-05,63.72
5,renewal,2025-02-05,68.39
6,issuance,2025-02-06,65.27
1,issuance,2025-02-06,54.68
3,cancellation,2025-02-06,77.04
8,cancellation,2025-02-06,53.51
4,issuance,2025-02-06,43.49
2,renewal,2025-02-06,33.68
2,cancellation,2025-02-06,24.2
3,issuance,2025-02-07,58.55
9,cancellation,2025-02-07,62.54
4,issuance,2025-02-07,57.79
9,renewal,2025-02-07,65.8
4,issuance,2025-02-07,69.65
4,issuance,2025-02-07,89.11
7,cancellation,2025-02-07,52.31
3,issuance,2025-02-08,22.13
5,issuance,2025-02-08,15.1
3,renewal,2025-02-08,53.93
1,issuance,2025-02-08,39.29
2,cancellation,2025-02-08,65.38
10,renewal,2025-02-08,94.73
2,renewal,2025-02-08,79.9
2,renewal,2025-02-08,23.73
1,cancellation,2025-02-09,30.86
4,renewal,2025-02-09,16.63
10,endorsement,2025-02-09,99.81
2,renewal,2025-02-09,52.33
4,issuance,2025-02-10,39.77
5,issuance,2025-02-10,97.87
4,renewal,2025-02-10,49.19
2,renewal,2025-02-11,90.77
7,endorsement,2025-02-11,54.78
4,renewal,2025-02-12,34.05
9,endorsement,2025-02-12,72.37
4,renewal,2025-02-12,64.86
8,cancellation,2025-02-12,36.6
3,renewal,2025-02-12,22.46
5,issuance,2025-02-12,17.15
6,renewal,2025-02-12,27.34
4,issuance,2025-02-12,58.21
2,renewal,2025-02-12,28.21
9,cancellation,2025-02-13,77.08
2,renewal,2025-02-13,94.55
3,issuance,2025-02-13,16.74
9,issuance,2025-02-13,70.32
5,renewal,2025-02-13,70.71
4,renewal,2025-02-14,92.41
2,issuance,2025-02-14,47.95
9,issuance,2025-02-14,24.04
3,issuance,2025-02-14,15.69
6,cancellation,2025-02-14,27.12
7,endorsement,2025-02-14,45.39
2,issuance,2025-02-14,49.98
6,endorsement,2025-02-14,19.24
4,endorsement,2025-02-14,62.57
3,issuance,2025-02-14,31.83
9,renewal,2025-02-14,83.32
6,renewal,2025-02-14,50.64
10,renewal,2025-02-14,67.68
3,renewal,2025-02-15,77.43
4,renewal,2025-02-16,87.38
5,renewal,2025-02-16,55.11
5,renewal,2025-02-17,36.12
4,renewal,2025-02-17,40.54
9,renewal,2025-02-17,94.55
4,renewal,2025-02-17,96.52
6,renewal,2025-02-17,83.77
4,issuance,2025-02-17,31.3
9,renewal,2025-02-17,73.2
3,renewal,2025-02-17,49.05
4,issuance,2025-02-17,89.1
2,renewal,2025-02-17,41.26
9,renewal,2025-02-17,60.13
2,renewal,2025-02-18,96.03
2,issuance,2025-02-18,36.49
5,endorsement,2025-02-18,95.79
9,renewal,2025-02-18,28.32
4,issuance,2025-02-18,17.71
3,issuance,2025-02-19,48.53
9,issuance,2025-02-19,92.67
10,issuance,2025-02-19,17.08
5,renewal,2025-02-20,16.66
10,renewal,2025-02-21,27.4
5,issuance,2025-02-21,36.97
7,renewal,2025-02-22,85.76
7,renewal,2025-02-22,60.22
7,issuance,2025-02-22,42.92
4,renewal,2025-02-22,61.68
2,endorsement,2025-02-22,34.9
1,renewal,2025-02-22,46.16
9,issuance,2025-02-22,30.89
1,issuance,2025-02-22,39.74
9,renewal,2025-02-22,64.84
5,renewal,2025-02-23,97.52
2,renewal,2025-02-23,18.43
9,renewal,2025-02-23,25.66
5,cancellation,2025-02-23,27.7
7,endorsement,2025-02-23,25.61
9,renewal,2025-02-23,79.89
8,renewal,2025-02-24,82.98
4,issuance,2025-02-24,46.65
3,issuance,2025-02-24,38.74
9,issuance,2025-02-24,72.41
1,renewal,2025-02-24,54.51
10,renewal,2025-02-24,88.52
6,endorsement,2025-02-24,72.96
10,renewal,2025-02-24,49.7
8,renewal,2025-02-24,31.92
7,issuance,2025-02-24,88.39
2,issuance,2025-02-24,87.74
7,endorsement,2025-02-24,72.46
8,issuance,2025-02-24,64.75
5,renewal,2025-02-24,86.53
1,renewal,2025-02-25,98
9,issuance,2025-02-25,65.81
9,renewal,2025-02-25,71.8
4,renewal,2025-02-25,41.38
3,endorsement,2025-02-25,91.39
8,cancellation,2025-02-25,38.65
10,endorsement,2025-02-25,93.79
6,issuance,2025-02-25,34.44
8,issuance,2025-02-25,58.57
9,endorsement,2025-02-25,57.64
9,issuance,2025-02-25,37.87
3,issuance,2025-02-25,96.58
10,issuance,2025-02-25,28.05
10,renewal,2025-02-25,98.04
8,renewal,2025-02-25,78.41
2,renewal,2025-02-25,42.46
2,issuance,2025-02-25,17.56
5,cancellation,2025-02-26,31.14
5,renewal,2025-02-26,56.99
6,issuance,2025-02-26,62.05
8,renewal,2025-02-26,27.68
4,renewal,2025-02-27,36.02
6,renewal,2025-02-27,29.12
6,endorsement,2025-02-27,40.58
6,renewal,2025-02-27,88.67
4,renewal,2025-02-27,54.32
1,renewal,2025-02-27,34.66
1,cancellation,2025-02-27,34.59
10,renewal,2025-02-27,93.33
3,endorsement,2025-02-27,31.3
4,renewal,2025-02-27,34.68
2,renewal,2025-02-27,64.95
8,renewal,2025-02-27,31.97
5,renewal,2025-02-27,78.14
10,renewal,2025-02-27,68.47
2,renewal,2025-02-27,58.41
1,endorsement,2025-02-27,58.23
2,issuance,2025-02-27,99.31
2,issuance,2025-02-27,93.23
3,renewal,2025-02-27,46.51
2,issuance,2025-02-27,31.74
2,renewal,2025-02-27,66.43
8,endorsement,2025-02-28,21.69
6,issuance,2025-03-01,50.97
9,renewal,2025-03-01,51.95
7,renewal,2025-03-01,62.92
4,cancellation,2025-03-02,68.92
8,issuance,2025-03-02,97.59
9,issuance,2025-03-02,87.84
8,issuance,2025-03-02,88.5
4,renewal,2025-03-02,96.03
5,cancellation,2025-03-03,19.49
1,renewal,2025-03-03,86.77
8,renewal,2025-03-03,24.15
5,endorsement,2025-03-03,34.77
7,issuance,2025-03-03,47.77
4,cancellation,2025-03-03,47.5
5,issuance,2025-03-03,24.72
9,issuance,2025-03-03,32.46
4,cancellation,2025-03-03,57.1
3,renewal,2025-03-04,97.25
7,renewal,2025-03-04,69.07
7,cancellation,2025-03-04,72.78
8,issuance,2025-03-04,50.04
6,renewal,2025-03-05,20.78
4,renewal,2025-03-05,32.02
1,issuance,2025-03-05,79.05
2,issuance,2025-03-05,42.55
2,issuance,2025-03-05,62.09
10,renewal,2025-03-06,45
6,renewal,2025-03-06,39.82
8,renewal,2025-03-06,86.42
9,cancellation,2025-03-06,27.48
10,issuance,2025-03-06,25.68
2,issuance,2025-03-06,33.26
1,endorsement,2025-03-06,91.63
6,renewal,2025-03-06,83.08
4,endorsement,2025-03-06,64.3
8,issuance,2025-03-06,30.96
7,renewal,2025-03-06,55.51
7,cancellation,2025-03-06,56.46
3,issuance,2025-03-06,18.2
3,renewal,2025-03-06,59.47
10,renewal,2025-03-06,51.61
2,endorsement,2025-03-06,57.64
5,renewal,2025-03-06,79.99
10,endorsement,2025-03-06,64.62
2,renewal,2025-03-06,75.34
4,renewal,2025-03-07,19.81
8,cancellation,2025-03-07,22.72
7,endorsement,2025-03-07,57.52
7,endorsement,2025-03-07,20.74
6,cancellation,2025-03-08,70.65
10,renewal,2025-03-08,41.86
6,renewal,2025-03-08,27.69
4,issuance,2025-03-09,89.44
8,renewal,2025-03-09,44.32
8,issuance,2025-03-10,77.31
7,renewal,2025-03-10,97.14
5,issuance,2025-03-10,59.77
3,issuance,2025-03-10,64.37
2,renewal,2025-03-11,94.17
8,renewal,2025-03-12,16.07
8,renewal,2025-03-12,69.94
10,renewal,2025-03-12,34.2
5,renewal,2025-03-12,62.51
5,renewal,2025-03-12,38.23
8,renewal,2025-03-12,87.55
8,renewal,2025-03-12,77.06
3,issuance,2025-03-12,18.93
9,renewal,2025-03-12,68.61
3,cancellation,2025-03-12,60.05
10,cancellation,2025-03-12,32.91
7,issuance,2025-03-12,74.48
6,renewal,2025-03-12,33.59
8,issuance,2025-03-12,59.9
5,issuance,2025-03-12,75.87
1,endorsement,2025-03-13,63.75
7,renewal,2025-03-13,50.08
3,issuance,2025-03-14,60.47
4,issuance,2025-03-14,52.07
6,renewal,2025-03-14,34.47
3,renewal,2025-03-14,39.47
7,renewal,2025-03-14,98.01
1,renewal,2025-03-14,15.74
1,renewal,2025-03-14,94.31
3,renewal,2025-03-14,72.54
5,renewal,2025-03-14,49.08
1,renewal,2025-03-14,38.72
5,renewal,2025-03-14,35.8
5,endorsement,2025-03-14,65.1
3,renewal,2025-03-14,38.03
10,issuance,2025-03-14,72.78
1,cancellation,2025-03-14,89.11
6,renewal,2025-03-15,99.38
4,renewal,2025-03-16,30.7
2,issuance,2025-03-16,95.7
9,renewal,2025-03-16,57.57
9,renewal,2025-03-16,34.57
3,issuance,2025-03-17,77.07
6,renewal,2025-03-17,61.93
4,issuance,2025-03-17,18.86
4,endorsement,2025-03-17,93.76
7,cancellation,2025-03-17,31.96
7,issuance,2025-03-18,22.84
2,issuance,2025-03-18,59.37
9,renewal,2025-03-18,93.1
7,issuance,2025-03-18,44.49
2,endorsement,2025-03-18,29.98
9,renewal,2025-03-18,18.72
5,issuance,2025-03-18,85.86
5,renewal,2025-03-18,39.98
2,issuance,2025-03-18,72.5
7,issuance,2025-03-18,36.56
10,renewal,2025-03-18,34.71
7,issuance,2025-03-19,68.25
4,issuance,2025-03-19,37.84
6,issuance,2025-03-19,22.03
2,endorsement,2025-03-19,74
4,renewal,2025-03-19,20.58
3,issuance,2025-03-20,98.63
10,renewal,2025-03-21,95.72
6,endorsement,2025-03-21,93.9
7,cancellation,2025-03-21,39.85
9,issuance,2025-03-21,94.94
8,issuance,2025-03-21,92.02
3,issuance,2025-03-21,74.81
1,endorsement,2025-03-21,93.64
8,endorsement,2025-03-21,58.59
8,endorsement,2025-03-22,43.22
4,issuance,2025-03-23,46.84
7,renewal,2025-03-23,44.54
5,renewal,2025-03-23,52.63
3,issuance,2025-03-23,88.99
1,renewal,2025-03-23,49.49
3,endorsement,2025-03-24,61.42
10,renewal,2025-03-25,82.27
9,renewal,2025-03-25,18.73
1,renewal,2025-03-25,33.87
10,endorsement,2025-03-25,89
3,renewal,2025-03-26,89.73
1,issuance,2025-03-26,61.85
6,issuance,2025-03-27,99.99
3,renewal,2025-03-27,74.68
4,renewal,2025-03-27,73.69
7,renewal,2025-03-27,52.68
1,renewal,2025-03-27,59.16
9,renewal,2025-03-27,73.02
4,issuance,2025-03-28,69.77
6,renewal,2025-03-28,69.06
1,cancellation,2025-03-28,42.44
1,issuance,2025-03-28,60.45
2,cancellation,2025-03-28,70.58
7,cancellation,2025-03-29,79.51
6,renewal,2025-03-29,30.51
10,cancellation,2025-03-29,48.4
1,endorsement,2025-03-29,99.03
8,endorsement,2025-03-29,77.64
2,renewal,2025-03-30,22.66
10,renewal,2025-03-31,54
3,renewal,2025-03-31,82.69
9,issuance,2025-04-01,33.2
7,renewal,2025-04-01,72.87
6,issuance,2025-04-02,36.03
6,cancellation,2025-04-02,19.22
2,renewal,2025-04-02,76.46
9,renewal,2025-04-02,30.21
9,cancellation,2025-04-02,57.28
4,renewal,2025-04-02,86.26
1,renewal,2025-04-02,18.8
2,endorsement,2025-04-03,98.47
5,cancellation,2025-04-03,91.85
10,renewal,2025-04-03,39.92
3,renewal,2025-04-03,73.18
1,renewal,2025-04-03,42.74
7,issuance,2025-04-03,50.52
2,renewal,2025-04-03,41.77
2,renewal,2025-04-03,44.61
9,cancellation,2025-04-04,55.86
3,renewal,2025-04-04,74.84
7,renewal,2025-04-04,97.33
4,endorsement,2025-04-05,63.27
8,renewal,2025-04-05,67.4
3,renewal,2025-04-05,90.66
5,issuance,2025-04-05,90.74
7,renewal,2025-04-05,55.21
7,renewal,2025-04-05,85.15
10,renewal,2025-04-05,98.16
6,renewal,2025-04-05,87.04
9,issuance,2025-04-05,96.1
7,endorsement,2025-04-06,31.43
9,renewal,2025-04-06,20.1
3,endorsement,2025-04-06,30.38
6,cancellation,2025-04-06,62.91
3,issuance,2025-04-06,84.39
8,endorsement,2025-04-06,88.02
2,issuance,2025-04-06,49.15
4,endorsement,2025-04-06,77.27
4,issuance,2025-04-06,30.84
4,endorsement,2025-04-06,72.28
8,renewal,2025-04-06,49.14
8,renewal,2025-04-06,69.96
6,renewal,2025-04-06,56.26
6,endorsement,2025-04-06,69.46
6,issuance,2025-04-06,58.53
1,endorsement,2025-04-06,67.46
1,renewal,2025-04-06,44
2,cancellation,2025-04-06,72.17
2,renewal,2025-04-06,94.67
3,issuance,2025-04-06,17.28
9,cancellation,2025-04-07,53.59
6,renewal,2025-04-07,63.03
5,issuance,2025-04-07,15.04
8,issuance,2025-04-08,17.29
8,issuance,2025-04-08,16.63
5,cancellation,2025-04-08,84.73
1,cancellation,2025-04-09,69.57
7,issuance,2025-04-09,50.68
5,renewal,2025-04-10,28.86
2,issuance,2025-04-11,18.53
2,renewal,2025-04-11,77.08
9,renewal,2025-04-11,59.42
2,renewal,2025-04-11,22.29
2,renewal,2025-04-11,77.79
2,issuance,2025-04-11,85.47
4,renewal,2025-04-12,82.77
4,issuance,2025-04-13,71.68
1,issuance,2025-04-13,48.05
6,issuance,2025-04-13,85.89
7,renewal,2025-04-13,76.97
1,renewal,2025-04-13,94.06
6,cancellation,2025-04-13,22.23
1,renewal,2025-04-13,63.68
9,issuance,2025-04-14,22.42
4,cancellation,2025-04-15,86.05
10,issuance,2025-04-15,33.96
1,issuance,2025-04-16,41.18
4,renewal,2025-04-16,92.3
9,endorsement,2025-04-17,27.93
2,renewal,2025-04-17,85.31
9,endorsement,2025-04-18,81.39
2,issuance,2025-04-18,86.79
10,issuance,2025-04-18,29.82
9,renewal,2025-04-18,76.52
1,renewal,2025-04-18,27.58
3,issuance,2025-04-19,48.45
5,renewal,2025-04-19,20.34
5,renewal,2025-04-19,17.16
7,issuance,2025-04-19,62.49
8,renewal,2025-04-20,86.1
3,renewal,2025-04-20,39.54
8,issuance,2025-04-20,52.87
6,renewal,2025-04-21,33.81
9,renewal,2025-04-21,72.16
8,renewal,2025-04-21,41.94
9,renewal,2025-04-21,46.45
6,renewal,2025-04-22,44.45
3,cancellation,2025-04-22,88.89
10,renewal,2025-04-22,28.63
7,cancellation,2025-04-22,90.05
1,cancellation,2025-04-22,64.52
10,renewal,2025-04-22,82.51
5,endorsement,2025-04-23,64.99
4,renewal,2025-04-23,43.75
6,issuance,2025-04-24,17.08
1,issuance,2025-04-24,67.22
3,renewal,2025-04-24,23.85
10,renewal,2025-04-24,27.59
7,renewal,2025-04-25,49.75
6,issuance,2025-04-26,47.35
1,renewal,2025-04-26,26.86
4,issuance,2025-04-26,67.92
6,issuance,2025-04-26,99.91
10,renewal,2025-04-26,52.29
5,issuance,2025-04-26,88.95
1,renewal,2025-04-27,15.89
6,issuance,2025-04-28,47.52
2,renewal,2025-04-28,30.53
10,renewal,2025-04-28,89.24
8,cancellation,2025-04-28,57.91
2,renewal,2025-04-28,46.14
8,issuance,2025-04-28,46.09
6,issuance,2025-04-28,76
5,endorsement,2025-04-28,42.63
1,issuance,2025-04-28,81.65
1,renewal,2025-04-28,22
4,renewal,2025-04-28,67.66
3,issuance,2025-04-28,29.46
3,issuance,2025-04-28,28.64
4,issuance,2025-04-28,73
6,endorsement,2025-04-28,65.29
8,renewal,2025-04-28,41.56
4,issuance,2025-04-28,69.51
6,renewal,2025-04-29,61.64
7,cancellation,2025-04-29,85.66
8,renewal,2025-04-29,47.85
8,issuance,2025-04-29,64.98
2,renewal,2025-04-30,81.38
9,renewal,2025-04-30,76.82
9,renewal,2025-04-30,54.74
10,issuance,2025-04-30,74.61
6,issuance,2025-04-30,22.44
10,renewal,2025-04-30,27.68
10,cancellation,2025-04-30,68.37
9,renewal,2025-04-30,85.55
4,issuance,2025-04-30,57.74
1,cancellation,2025-04-30,34.69
9,issuance,2025-04-30,33.36
6,renewal,2025-04-30,38.41
8,renewal,2025-04-30,71.38
9,endorsement,2025-04-30,19.55
6,issuance,2025-04-30,98.13
8,issuance,2025-04-30,90.2
8,issuance,2025-05-01,20.21
5,renewal,2025-05-01,20.41
7,issuance,2025-05-01,36.2
6,renewal,2025-05-01,79.31
9,renewal,2025-05-01,46.76
5,issuance,2025-05-01,62.8
2,endorsement,2025-05-02,91.53
4,cancellation,2025-05-02,66.25
10,renewal,2025-05-02,56.81
5,renewal,2025-05-02,57.64
7,endorsement,2025-05-02,18.23
1,issuance,2025-05-02,55.3
10,endorsement,2025-05-02,32.96
2,renewal,2025-05-02,70.89
5,renewal,2025-05-02,53.67
3,renewal,2025-05-02,33.37
1,issuance,2025-05-02,23.55
5,endorsement,2025-05-02,90.73
7,renewal,2025-05-02,19.72
2,issuance,2025-05-03,22.47
9,cancellation,2025-05-03,90.41
9,renewal,2025-05-03,77.99
8,cancellation,2025-05-03,69.82
2,renewal,2025-05-03,54.4
3,renewal,2025-05-03,45.18
8,endorsement,2025-05-04,99.77
8,renewal,2025-05-04,38.18
4,renewal,2025-05-04,55.25
10,cancellation,2025-05-04,57.86
4,endorsement,2025-05-05,77.95
9,renewal,2025-05-05,58.98
8,renewal,2025-05-06,86.47
2,renewal,2025-05-06,82.59
5,issuance,2025-05-06,38.55
1,renewal,2025-05-06,99.26
6,renewal,2025-05-06,43.93
10,renewal,2025-05-07,44.66
3,renewal,2025-05-07,29.67
8,renewal,2025-05-07,75.95
5,endorsement,2025-05-07,53.74
10,issuance,2025-05-07,15.63
5,renewal,2025-05-07,24.75
6,endorsement,2025-05-07,41.81
3,issuance,2025-05-07,20.8
4,renewal,2025-05-07,54.76
8,renewal,2025-05-07,51.54
2,issuance,2025-05-07,43.03
3,issuance,2025-05-07,52.48
6,cancellation,2025-05-07,80.74
10,endorsement,2025-05-08,46.78
4,issuance,2025-05-08,68.21
8,renewal,2025-05-08,62.9
3,issuance,2025-05-08,68.96
1,renewal,2025-05-08,30.25
4,renewal,2025-05-08,35.09
2,cancellation,2025-05-08,96.11
1,issuance,2025-05-08,85.22
9,issuance,2025-05-08,58.94
4,cancellation,2025-05-08,56.19
6,renewal,2025-05-08,93.33
1,issuance,2025-05-09,15.68
4,renewal,2025-05-09,31.03
7,renewal,2025-05-09,56.35
6,issuance,2025-05-09,88.73
8,renewal,2025-05-10,25.25
5,renewal,2025-05-10,35.46
6,renewal,2025-05-10,97.63
9,renewal,2025-05-10,79.54
7,renewal,2025-05-10,86.1
10,endorsement,2025-05-10,66.22
9,issuance,2025-05-11,18.54
2,renewal,2025-05-11,75.97
4,renewal,2025-05-12,41.34
3,issuance,2025-05-13,84.39
2,issuance,2025-05-13,71.33
10,cancellation,2025-05-14,22.84
3,renewal,2025-05-14,18.38
4,issuance,2025-05-14,34.26
2,renewal,2025-05-14,66.62
3,renewal,2025-05-14,33.3
5,renewal,2025-05-14,39.12
1,renewal,2025-05-15,90.45
1,renewal,2025-05-16,77.07
10,issuance,2025-05-17,22.71
9,issuance,2025-05-17,58.32
10,renewal,2025-05-17,90.43
6,renewal,2025-05-18,57.77
10,endorsement,2025-05-18,46.38
5,renewal,2025-05-18,56.54
6,endorsement,2025-05-18,22.69
2,cancellation,2025-05-18,59.42
2,issuance,2025-05-19,68.55
8,issuance,2025-05-20,97.61
9,cancellation,2025-05-20,60.1
8,issuance,2025-05-21,38.82
2,issuance,2025-05-21,80.39
4,renewal,2025-05-22,22.74
6,renewal,2025-05-23,19.98
5,renewal,2025-05-23,36.18
4,endorsement,2025-05-23,19.92
8,renewal,2025-05-23,17.37
9,renewal,2025-05-23,48.72
8,renewal,2025-05-23,84.11
1,endorsement,2025-05-23,60.64
1,issuance,2025-05-23,40.59
6,renewal,2025-05-23,64.04
2,issuance,2025-05-23,93
10,renewal,2025-05-23,58.99
8,renewal,2025-05-23,34.67
6,issuance,2025-05-23,38.48
8,issuance,2025-05-23,75.22
2,issuance,2025-05-23,97.05
8,issuance,2025-05-23,53.55
4,issuance,2025-05-23,38.72
10,issuance,2025-05-23,57.22
7,renewal,2025-05-23,78.41
8,renewal,2025-05-23,74.58
7,renewal,2025-05-23,92.25
7,issuance,2025-05-24,49.57
2,cancellation,2025-05-24,55.66
10,renewal,2025-05-24,28.25
2,issuance,2025-05-25,96.4
5,renewal,2025-05-25,55.37
1,renewal,2025-05-25,42.03
6,cancellation,2025-05-26,50.5
4,issuance,2025-05-27,20.7
5,renewal,2025-05-27,77.93
6,issuance,2025-05-27,97.3
8,renewal,2025-05-27,15.07
7,renewal,2025-05-27,26.65
7,issuance,2025-05-28,17.97
10,renewal,2025-05-29,95.89
8,issuance,2025-05-29,78.21
10,cancellation,2025-05-29,77.46
3,renewal,2025-05-29,86.54
8,renewal,2025-05-29,25.58
6,endorsement,2025-05-29,67.44
9,issuance,2025-05-29,72.36
2,issuance,2025-05-29,63.24
2,cancellation,2025-05-29,56.85
5,renewal,2025-05-29,35.74
6,renewal,2025-05-29,32.52
4,endorsement,2025-05-29,87.78
9,issuance,2025-05-29,20.03
7,renewal,2025-05-29,33.53
8,renewal,2025-05-29,42.11
7,issuance,2025-05-29,82.17
9,renewal,2025-05-30,51.77
6,issuance,2025-05-30,31.67
7,renewal,2025-05-30,76.53
4,renewal,2025-05-30,67.87
9,renewal,2025-05-30,33.99
9,renewal,2025-05-30,47.2
9,issuance,2025-05-30,26.57
8,issuance,2025-05-31,66.51
2,renewal,2025-05-31,38.87
9,endorsement,2025-05-31,18.61
2,issuance,2025-05-31,69.56
10,renewal,2025-05-31,28.5
3,renewal,2025-05-31,57.07
9,issuance,2025-05-31,86.58
9,renewal,2025-05-31,77.09
7,renewal,2025-05-31,89.13
3,renewal,2025-05-31,98.19
9,renewal,2025-05-31,79.99
2,renewal,2025-05-31,52.71
7,issuance,2025-05-31,46.62
7,renewal,2025-05-31,37.17
9,issuance,2025-05-31,49.41
9,renewal,2025-05-31,29.85
3,issuance,2025-05-31,16.45
8,issuance,2025-05-31,36.85
1,issuance,2025-06-01,39.41
5,issuance,2025-06-01,74.26
9,renewal,2025-06-01,17.89
7,issuance,2025-06-01,53.14
4,issuance,2025-06-01,71.19
