agent,operation,date,amount
10,adjust,2025-03-25,92.66
6,recovery,2025-03-26,66.55
8,deductible,2025-03-27,69.02
3,reserve,2025-03-28,80.71
2,deductible,2025-03-28,61.8
5,recovery,2025-03-29,77.28
3,reserve,2025-03-29,84.44
9,recovery,2025-03-29,99.88
9,reserve,2025-03-29,86.79
9,recovery,2025-03-29,40.32
3,deductible,2025-03-30,33.43
9,recovery,2025-03-30,54.66
8,deductible,2025-03-31,42.43
8,reserve,2025-04-01,56.33
4,adjust,2025-04-02,18.55
5,reserve,2025-04-03,22.22
8,reserve,2025-04-03,82.3
2,recovery,2025-04-04,66.98
4,recovery,2025-04-05,66.82
3,adjust,2025-04-05,23.32
2,adjust,2025-04-05,518.14
1,reserve,2025-04-05,53.97
9,recovery,2025-04-06,49.97
9,reserve,2025-04-06,25.86
10,adjust,2025-04-07,62.39
7,reserve,2025-04-08,559.51
6,reserve,2025-04-08,92.83
1,reserve,2025-04-09,99.73
8,reserve,2025-04-09,84.59
3,reserve,2025-04-10,21.57
2,reserve,2025-04-10,3082.54
5,reserve,2025-04-11,17.41
8,recovery,2025-04-11,25.74
4,reserve,2025-04-12,98.26
7,reserve,2025-04-12,84.28
10,reserve,2025-04-12,71.5
1,reserve,2025-04-13,92.47
8,recovery,2025-04-14,15.43
3,reserve,2025-04-14,39.11
8,reserve,2025-04-15,39.16
10,deductible,2025-04-16,43.69
10,reserve,2025-04-17,78.62
3,adjust,2025-04-18,44.38
9,deductible,2025-04-19,82.48
1,reserve,2025-04-20,30.03
8,reserve,2025-04-21,58.51
5,reserve,2025-04-22,98.93
4,reserve,2025-04-23,74.33
3,recovery,2025-04-24,97.95
10,adjust,2025-04-24,32.58
8,reserve,2025-04-25,41.29
8,reserve,2025-04-26,28.55
4,reserve,2025-04-27,47.25
9,reserve,2025-04-28,79.3
10,reserve,2025-04-29,16.56
9,adjust,2025-04-30,43.01
7,recovery,2025-05-01,53.37
3,deductible,2025-05-02,17.31
7,adjust,2025-05-02,18.01
10,recovery,2025-05-02,94.26
6,reserve,2025-05-03,89.85
6,adjust,2025-05-03,37.42
7,reserve,2025-05-03,39.59
6,reserve,2025-05-04,81.58
1,reserve,2025-05-05,58.62
7,reserve,2025-05-06,60.5
3,recovery,2025-05-07,91.6
1,reserve,2025-05-07,77.34
2,reserve,2025-05-08,56.58
2,reserve,2025-05-09,27.74
5,recovery,2025-05-10,96.26
4,reserve,2025-05-11,34.29
1,reserve,2025-05-12,63.24
7,adjust,2025-05-13,90.48
7,reserve,2025-05-14,57.32
3,adjust,2025-05-15,22.94
2,reserve,2025-05-16,84.74
8,deductible,2025-05-17,91.65
7,adjust,2025-05-18,38.64
4,recovery,2025-05-19,61.77
4,deductible,2025-05-20,59.9
3,reserve,2025-05-20,77.41
6,recovery,2025-05-20,39.32
6,reserve,2025-05-21,56.73
8,adjust,2025-05-22,34.79
10,reserve,2025-05-22,32.65
2,reserve,2025-05-23,95.11
10,reserve,2025-05-24,55.84
5,reserve,2025-05-25,53.77
5,recovery,2025-05-26,50.44
1,adjust,2025-05-27,49.49
2,deductible,2025-05-27,66.83
4,deductible,2025-05-28,94.96
5,reserve,2025-05-29,81.65
5,reserve,2025-05-30,75.91
5,deductible,2025-05-31,78.39
1,reserve,2025-05-31,25.21
2,adjust,2025-06-01,37.81
9,reserve,2025-06-02,98.47
1,reserve,2025-06-02,82.13
9,reserve,2025-06-02,72.63
6,recovery,2025-06-03,66.62
10,reserve,2025-06-03,85.8
7,deductible,2025-06-04,47.09
6,recovery,2025-06-05,94.44
8,reserve,2025-06-06,71.02
7,adjust,2025-06-07,49.42
7,deductible,2025-06-07,56.28
5,recovery,2025-06-07,74.79
3,reserve,2025-06-08,42.66
1,reserve,2025-06-09,24.16
6,adjust,2025-06-10,98.75
6,reserve,2025-06-10,66.31
3,recovery,2025-06-10,47.03
2,reserve,2025-06-11,44.15
4,recovery,2025-06-11,22.1
10,reserve,2025-06-12,44.69
2,reserve,2025-06-12,83.84
1,reserve,2025-06-12,94.57
10,deductible,2025-06-13,46.94
4,reserve,2025-06-13,67.58
7,deductible,2025-06-14,99.67
9,reserve,2025-06-14,55.63
6,reserve,2025-06-14,15.43
10,deductible,2025-06-15,31.56
1,reserve,2025-06-16,45.21
8,reserve,2025-06-16,74.2
1,reserve,2025-06-17,27.14
7,deductible,2025-06-18,64.28
10,adjust,2025-06-19,69.58
8,reserve,2025-06-19,98.49
10,reserve,2025-06-20,45.93
4,reserve,2025-06-20,49.57
10,adjust,2025-06-21,52.16
5,recovery,2025-06-21,76.49
1,adjust,2025-06-22,30.09
7,reserve,2025-06-22,68.05
6,deductible,2025-06-23,51.04
6,reserve,2025-06-24,40.23
4,reserve,2025-06-25,43.74
3,recovery,2025-06-26,96.11
1,reserve,2025-06-26,44.79
4,adjust,2025-06-26,63.08
2,adjust,2025-06-26,52.87
4,recovery,2025-06-26,73.81
6,reserve,2025-06-27,76.35
1,deductible,2025-06-28,49.26
4,reserve,2025-06-28,54.32
9,reserve,2025-06-29,61.24
9,reserve,2025-06-29,73.59
3,reserve,2025-06-30,28.43
3,reserve,2025-07-01,62.16
1,deductible,2025-07-01,37.89
3,recovery,2025-07-01,15.23
1,reserve,2025-07-01,83.19
8,deductible,2025-07-02,85.22
2,deductible,2025-07-03,55.58
10,deductible,2025-07-03,94.93
9,deductible,2025-07-03,82.62
7,recovery,2025-07-04,56.5
6,deductible,2025-07-04,83.15
4,reserve,2025-07-05,33.42
3,deductible,2025-07-06,87.47
7,recovery,2025-07-07,74.36
1,reserve,2025-07-07,99.67
10,reserve,2025-07-08,43.55
5,reserve,2025-07-09,31.63
3,adjust,2025-07-10,70.36
3,reserve,2025-07-11,75.27
9,reserve,2025-07-11,53.26
4,reserve,2025-07-12,84.3
4,reserve,2025-07-13,31.83
4,reserve,2025-07-13,55.05
7,reserve,2025-07-14,56.76
8,reserve,2025-07-15,83.98
8,reserve,2025-07-16,75.59
10,reserve,2025-07-17,83.53
8,reserve,2025-07-18,76.9
3,adjust,2025-07-18,80.47
6,reserve,2025-07-18,91.12
9,reserve,2025-07-19,59.33
9,reserve,2025-07-19,22.39
9,adjust,2025-07-20,86.89
4,reserve,2025-07-21,72.21
4,reserve,2025-07-21,38.68
8,reserve,2025-07-22,88.97
8,reserve,2025-07-23,59.22
6,deductible,2025-07-24,58.11
1,reserve,2025-07-24,80.11
1,reserve,2025-07-25,61.28
9,reserve,2025-07-25,37.26
7,adjust,2025-07-25,98.74
7,reserve,2025-07-25,68.06
3,deductible,2025-07-26,49.96
2,recovery,2025-07-27,30.13
6,adjust,2025-07-28,82.45
6,deductible,2025-07-28,73.64
6,reserve,2025-07-29,52.94
7,deductible,2025-07-30,99.26
3,reserve,2025-07-31,48.94
8,reserve,2025-08-01,60.01
